,position,interpret,title,last_week,peak,week_date,week_nr
0,1,Jack Harlow,First Class,-,1,2022-04-23,16
1,2,Harry Styles,As It Was,1,1,2022-04-23,16
2,3,Glass Animals,Heat Waves,2,1,2022-04-23,16
3,4,Latto,Big Energy,3,3,2022-04-23,16
4,5,Imagine Dragons X JID,Enemy,5,5,2022-04-23,16
5,6,The Kid LAROI & Justin Bieber,Stay,4,1,2022-04-23,16
6,7,Kodak Black,Super Gremlin,6,3,2022-04-23,16
7,8,Doja Cat,Woman,8,8,2022-04-23,16
8,9,Justin Bieber,Ghost,7,5,2022-04-23,16
9,10,Lil Nas X,Thats What I Want,10,8,2022-04-23,16
10,11,GAYLE,abcdefu,9,3,2022-04-23,16
11,12,Ed Sheeran,Bad Habits,12,2,2022-04-23,16
12,13,Lil Baby,Right On,-,13,2022-04-23,16
13,14,Lil Baby,In A Minute,-,14,2022-04-23,16
14,15,Ed Sheeran,Shivers,13,4,2022-04-23,16
15,16,Elton John & Dua Lipa,Cold Heart (PNAU Remix),15,7,2022-04-23,16
16,17,Adele,Easy On Me,14,1,2022-04-23,16
17,18,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,11,1,2022-04-23,16
18,19,Lil Nas X & Jack Harlow,Industry Baby,20,1,2022-04-23,16
19,20,Doja Cat,Need To Know,16,8,2022-04-23,16
20,21,Dua Lipa,Levitating,17,2,2022-04-23,16
21,22,Cody Johnson,'Til You Can't,21,18,2022-04-23,16
22,23,The Weeknd & Ariana Grande,Save Your Tears,18,1,2022-04-23,16
23,24,Post Malone & The Weeknd,One Right Now,19,6,2022-04-23,16
24,25,Camila Cabello Featuring Ed Sheeran,Bam Bam,28,23,2022-04-23,16
25,26,Muni Long,Hrs And Hrs,23,16,2022-04-23,16
26,27,Cole Swindell / Lainey Wilson,Never Say Never,34,27,2022-04-23,16
27,28,Olivia Rodrigo,Good 4 U,22,1,2022-04-23,16
28,29,SZA,I Hate U,24,7,2022-04-23,16
29,30,Becky G X Karol G,MAMIII,26,15,2022-04-23,16
30,31,Luke Combs,Doin' This,27,27,2022-04-23,16
31,32,Walker Hayes,AA,35,32,2022-04-23,16
32,33,Megan Thee Stallion & Dua Lipa,Sweetest Pie,30,15,2022-04-23,16
33,34,Lauren Spencer-Smith,Fingers Crossed,29,19,2022-04-23,16
34,35,Gunna & Future Featuring Young Thug,Pushin P,25,7,2022-04-23,16
35,36,Morgan Wallen,Wasted On You,42,9,2022-04-23,16
36,37,Doja Cat & The Weeknd,You Right,32,11,2022-04-23,16
37,38,Walker Hayes,Fancy Like,36,3,2022-04-23,16
38,39,Lil Durk Featuring Gunna,What Happened To Virgil,41,22,2022-04-23,16
39,40,Jack Harlow,Nail Tech,58,18,2022-04-23,16
40,41,"Dierks Bentley, BRELAND & HARDY",Beers On Me,44,40,2022-04-23,16
41,42,JNR CHOI & Sam Tompkins,To The Moon!,50,42,2022-04-23,16
42,43,Charlie Puth,Light Switch,31,27,2022-04-23,16
43,44,Dove Cameron,Boyfriend,40,40,2022-04-23,16
44,45,Em Beihold,Numb Little Bug,47,45,2022-04-23,16
45,46,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),37,37,2022-04-23,16
46,47,Jordan Davis Featuring Luke Bryan,Buy Dirt,39,22,2022-04-23,16
47,48,Morgan Wallen,Sand In My Boots,45,30,2022-04-23,16
48,49,Tiesto & Ava Max,The Motto,49,42,2022-04-23,16
49,50,Tate McRae,She's All I Wanna Be,46,44,2022-04-23,16
50,51,Thomas Rhett,Slow Down Summer,43,43,2022-04-23,16
51,52,Shawn Mendes,When You're Gone,38,38,2022-04-23,16
52,53,Fireboy DML & Ed Sheeran,Peru,53,53,2022-04-23,16
53,54,Russ Featuring Ktlyn,Handsomer,73,40,2022-04-23,16
54,55,Sam Hunt,23,52,50,2022-04-23,16
55,56,Jessica Darrow,Surface Pressure,51,8,2022-04-23,16
56,57,Maren Morris,Circles Around This Town,54,52,2022-04-23,16
57,58,Lil Durk Featuring Morgan Wallen,Broadway Girls,60,14,2022-04-23,16
58,59,Summer Walker & SZA,No Love,56,13,2022-04-23,16
59,60,Tyga X Doja Cat,Freaky Deaky,65,43,2022-04-23,16
60,61,Lil Durk,Ahhh Ha,55,18,2022-04-23,16
61,62,BIA Featuring J. Cole,London,-,62,2022-04-23,16
62,63,Eric Church,Heart On Fire,61,56,2022-04-23,16
63,64,Lil Tjay,In My Head,33,33,2022-04-23,16
64,65,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl,63,63,2022-04-23,16
65,66,"Nardo Wick, Lil Baby & Future",Me Or Sum,62,58,2022-04-23,16
66,67,ERNEST Featuring Morgan Wallen,Flower Shops,64,64,2022-04-23,16
67,68,Miranda Lambert,If I Was A Cowboy,69,64,2022-04-23,16
68,69,Yahritza y Su Esencia,Soy El Unico,57,20,2022-04-23,16
69,70,Nicki Minaj X Lil Baby,Do We Have A Problem?,68,2,2022-04-23,16
70,71,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods,97,46,2022-04-23,16
71,72,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,59,49,2022-04-23,16
72,73,Jason Aldean,Trouble With A Heartbreak,72,72,2022-04-23,16
73,74,Anitta,Envolver,70,70,2022-04-23,16
74,75,Camila Cabello Featuring WILLOW,Psychofreak,-,75,2022-04-23,16
75,76,HARDY,Give Heaven Some Hell,77,76,2022-04-23,16
76,77,Gucci Mane Featuring Lil Durk,Rumors,74,51,2022-04-23,16
77,78,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,66,20,2022-04-23,16
78,79,42 Dugg & EST Gee,Thump Shit,-,79,2022-04-23,16
79,80,Parmalee,Take My Name,88,80,2022-04-23,16
80,81,Chloe,Treat Me,-,81,2022-04-23,16
81,82,Doja Cat,Get Into It (Yuh),94,68,2022-04-23,16
82,83,Parker McCollum,To Be Loved By You,75,41,2022-04-23,16
83,84,Blake Shelton,Come Back As A Country Boy,81,81,2022-04-23,16
84,85,5 Seconds Of Summer,Complete Mess,91,85,2022-04-23,16
85,86,The Walters,I Love You So,89,71,2022-04-23,16
86,87,Gunna,Banking On Me,78,61,2022-04-23,16
87,88,Kevin Gates Featuring Juicy J,Thinking With My Dick,67,37,2022-04-23,16
88,89,Scotty McCreery,Damn Strait,82,82,2022-04-23,16
89,90,Russell Dickerson & Jake Scott,She Likes It,86,86,2022-04-23,16
90,91,Gunna Featuring Drake,P Power,79,24,2022-04-23,16
91,92,Ari Lennox,Pressure,87,66,2022-04-23,16
92,93,Sebastian Yatra,Dos Oruguitas,76,36,2022-04-23,16
93,94,Imagine Dragons,Bones,93,87,2022-04-23,16
94,95,Coi Leray & Nicki Minaj,Blick Blick!,-,37,2022-04-23,16
95,96,Lucky Daye,Over,85,77,2022-04-23,16
96,97,Pusha T Featuring JAY-Z & Pharrell Williams,Neck & Wrist,-,97,2022-04-23,16
