,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,1,1,2022-02-19,7
1,2,Nicki Minaj X Lil Baby,Do We Have A Problem?,"O.T.Maraj-Petty, D.A.Jones, J.Goods, A.Woart Jr.",Papi Yerr,Republic,-,2,2022-02-19,7
2,3,Adele,Easy On Me,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,2,1,2022-02-19,7
3,4,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,3,3,2022-02-19,7
4,5,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,4,1,2022-02-19,7
5,6,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,5,5,2022-02-19,7
6,7,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,6,6,2022-02-19,7
7,8,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,7,4,2022-02-19,7
8,9,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,12,9,2022-02-19,7
9,10,Jessica Darrow,Surface Pressure,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,8,8,2022-02-19,7
10,11,Gunna & Future Featuring Young Thug,Pushin P,"S.G.Kitchens, N.D.Wilburn, J.L.Williams, W.T.Glass, L.DePante","Juke Wong, Wheezy",Gunna/Young Stoner Life/300,9,7,2022-02-19,7
11,12,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,15,10,2022-02-19,7
12,13,Doja Cat,Need To Know,"A.Z.Dlamini, L.S.Gottwald",Dr. Luke,Kemosabe/RCA,10,8,2022-02-19,7
13,14,Elton John & Dua Lipa,Cold Heart (PNAU Remix),"E.John, B.J.P.Taupin, P.Mayes, N.Littlemore, S.Littlemore","N.Littlemore, P.Mayes, S.Littlemore, C.Thomas, G.Dudgeon",Rocket/Mercury/EMI/Interscope,11,7,2022-02-19,7
14,15,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,13,2,2022-02-19,7
15,16,Lil Nas X & Jack Harlow,Industry Baby,"M.L.Hill, D.M.A.Baptiste, D.C.Snyder, N.Lee, J.T.Harlow, Ye, M.Williams, R.Cubina, R.Lenzo","Ye, Take A Daytrip, N.Lee",Columbia,14,1,2022-02-19,7
16,17,Dua Lipa,Levitating,"C.Coffee Jr., S.Kozmeniuk, S.T.Hudson, D.Lipa, J.L.Kirk","KOZ, S.D.Price",Warner,17,2,2022-02-19,7
17,18,The Weeknd & Ariana Grande,Save Your Tears,"A.Tesfaye, A.Balshe, J.Quenneville, Max Martin, O.T.Holter, A.Grande","Max Martin, O.T.Holter, The Weeknd",XO/Republic,19,1,2022-02-19,7
18,19,Muni Long,Hrs And Hrs,"Priscilla Renea, T.Harrell, H.Aaabi, D.Graham, J.N.Zim, B.John-Baptiste","D.Graham, R.Tiller",Supergiant/Def Jam,18,16,2022-02-19,7
19,20,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,20,20,2022-02-19,7
20,21,Post Malone & The Weeknd,One Right Now,"A.R.Post, A.Tesfaye, L.B.Bell, B.D.Lee, A.Bolooki, B.Walsh, D.London","L.Bell, B.D.Lee, A.Bolooki",Republic,22,6,2022-02-19,7
21,22,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,"Bruno Mars, B.Anderson, D.Emile II","Bruno Mars, D'Mile",Aftermath/Atlantic,16,5,2022-02-19,7
22,23,Adele,Oh My God,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,21,5,2022-02-19,7
23,24,SZA,I Hate U,"S.I.Rowe, R.Bisel, C.Lang, C.Fayne, D.Wiggins","R.Bisel, C.Lang, thankgod4cody, Dylan Patrice",Top Dawg/RCA,26,7,2022-02-19,7
24,25,Olivia Rodrigo,Good 4 U,"O.Rodrigo, D.L.Nigro, J.N.Farro, H.Williams","D.Nigro, Alexander 23",Geffen/Interscope,23,1,2022-02-19,7
25,26,CKay,Love Nwantiti (Ah Ah Ah),"C.C.Ekweani, M.C.Alagwu","CKay, Tempoe",Chocolate City/Warner South Africa/Atlantic,30,26,2022-02-19,7
26,27,Drake Featuring 21 Savage & Project Pat,Knife Talk,"A.Graham, S.B.A.Joseph, L.T.Wayne, P.Houston, J.M.Houston, R.A.Mayers, P.L.Johnson",Metro Boomin,OVO Sound/Republic,27,4,2022-02-19,7
27,28,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,34,28,2022-02-19,7
28,29,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,37,29,2022-02-19,7
29,30,Chris Stapleton,You Should Probably Leave,"C.Stapleton, A.Gorley, C.DuBois","D.Cobb, C.Stapleton",Mercury Nashville,28,28,2022-02-19,7
30,31,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,43,31,2022-02-19,7
31,32,NEIKED X Mae Muller X Polo G,Better Days,"V.Radstrom, T.T.Bartlett, von tiger, K.Sang, K.Ivert",NEIKED,Neiked Collective/Capitol,25,23,2022-02-19,7
32,33,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,31,27,2022-02-19,7
33,34,Lauren Spencer-Smith,Fingers Crossed,"L.Spencer-Smith, J.Erixson, F.Hall",J.Erixson,Three Name/Island/Republic,32,19,2022-02-19,7
34,35,Jordan Davis Featuring Luke Bryan,Buy Dirt,"J.Davis, J.Davis, M.Jenkins, J.Jenkins",P.DiGiovanni,MCA Nashville,24,22,2022-02-19,7
35,36,Walker Hayes,Fancy Like,"W.Hayes, J.Jenkins, S.Stevens, C.Bartolini","W.Hayes, J.Thibodeau, S.McAnally",Monument/RCA,29,3,2022-02-19,7
36,37,Doja Cat & The Weeknd,You Right,"A.Z.Dlamini, L.S.Gottwald, A.Tesfaye",Dr. Luke,Kemosabe/RCA,36,11,2022-02-19,7
37,38,Morgan Wallen,Sand In My Boots,"A.Gorley, M.W.Hardy, J.Osborne",J.Moi,Republic/Big Loud,39,32,2022-02-19,7
38,39,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,"T.Cole, W.Smith","W.Smith, T.Cole",MSFTSMusic/Roc Nation,41,21,2022-02-19,7
39,40,King Von & 21 Savage,Don't Play That,"D.Bennett, S.B.A.Joseph",Kid Hazel,King Von/Only The Family/EMPIRE,-,40,2022-02-19,7
40,41,Sebastian Yatra,Dos Oruguitas,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,38,36,2022-02-19,7
41,42,Wizkid Featuring Justin Bieber & Tems,Essence,"A.I.Balogun, R.Isong, O.E.Oniko, U.E.Oniko, T.Openiyi, J.D.Bieber","P2J, Legendury Beatz",Starboy/RCA,33,9,2022-02-19,7
42,43,Juice WRLD,Cigarettes,"J.A.Higgins, N.Mira",N.Mira,Grade A/Interscope,-,43,2022-02-19,7
43,44,Doja Cat Featuring SZA,Kiss Me More,"A.Z.Dlamini, D.Sprecher, R.Chahayed, G.A.Powell II, C.Lang, L.S.Gottwald, S.I.Rowe, T.Shaddick, S.A.Kipner","Yeti Beats, R.Chahayed",Kemosabe/RCA,35,3,2022-02-19,7
44,45,Jimmie Allen & Brad Paisley,Freedom Was A Highway,"J.Allen, A.Bowers, M.Rogers","A.Bowers, J.Allen",Stoney Creek,46,45,2022-02-19,7
45,46,The Weeknd,Sacrifice,"A.Tesfaye, Axwell, S.Angello, S.Ingrosso, C.Nordstrom, Max Martin, O.T.Holter, K.D.McCord","Swedish House Mafia, Max Martin, O.T.Holter, The Weeknd",XO/Republic,40,11,2022-02-19,7
46,47,Cody Johnson,'Til You Can't,"B.M.Stennis, M.Rogers",T.W.Willmon,CoJo/Warner Music Nashville/WMN,45,45,2022-02-19,7
47,48,Parker McCollum,To Be Loved By You,"P.McCollum, R.Akins",Jon Randall,MCA Nashville,48,48,2022-02-19,7
48,49,Charlie Puth,Light Switch,"C.Puth, J.K.Hindlin, J.Torrey",C.Puth,Atlantic,49,42,2022-02-19,7
49,50,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,"D.Lynch, A.Albert, H.Phelps, W.Weatherly",Z.Crowell,Broken Bow,44,30,2022-02-19,7
50,51,Kane Brown,One Mississippi,"K.Brown, J.Frasure, L.Gray, E.K.Smith",D.Huff,RCA Nashville,47,40,2022-02-19,7
51,52,Tate McRae,She's All I Wanna Be,"T.McRae, G.Kurstin",G.Kurstin,RCA,-,52,2022-02-19,7
52,53,Stephanie Beatriz,Waiting On A Miracle,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,50,48,2022-02-19,7
53,54,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown,"K.Ballerini, S.McAnally, R.Copperman, J.Robbins, N.Galyon","K.Ballerini, R.Copperman, J.Robbins",Black River,55,53,2022-02-19,7
54,55,Gunna Featuring Drake,P Power,"S.G.Kitchens, A.Graham, L.T.Wayne",Metro Boomin,Gunna/Young Stoner Life/300,52,24,2022-02-19,7
55,56,Eric Church,Heart On Fire,E.Church,J.Joyce,EMI Nashville,60,56,2022-02-19,7
56,57,"Dierks Bentley, BRELAND & HARDY",Beers On Me,"D.Bentley, D.Breland, R.Copperman, L.Dick, A.Gorley, M.W.Hardy, N.Galyon, N.Moon, B.Johnson","R.Copperman, D.Bentley",Capitol Nashville,63,57,2022-02-19,7
57,58,Sam Hunt,23,"S.L.Hunt, C.La Corte, S.McAnally, J.Osborne",C.La Corte,MCA Nashville,53,53,2022-02-19,7
58,59,Walker Hayes,AA,"W.Hayes, S.McAnally, L.Laird","W.Hayes, J.Thibodeau, S.McAnally",Monument,56,55,2022-02-19,7
59,60,Lil Durk Featuring Morgan Wallen,Broadway Girls,"D.D.Banks, M.Wallen, Charlie Handsome, E.K.Smith, R.H.Block, G.W.Block, J.S.Reeves, A.Izquierdo","Charlie Handsome, J.Reeves",Alamo,54,14,2022-02-19,7
60,61,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,"M.D.Burdette, T.W.Griffin Jr, M.R.Nguyen-Stevenson, C.J.Wilson, J.W.Grace","Tharealcstylez, ThaRealJFKBeatz, Blxst",Evgle/Red Bull,58,51,2022-02-19,7
61,62,Luke Combs,Doin' This,"L.Combs, D.Parker, R.Williford","L.Combs, Chip Matthews, J.D.Singleton",River House/Columbia Nashville,66,53,2022-02-19,7
62,63,Gucci Mane Featuring Lil Durk,Rumors,"B.L.Chambers, D.Moore, D.D.Banks, R.D.Davis","DJ MEECH, Tay Keith",Atlantic,51,51,2022-02-19,7
63,64,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??,"H.Walls, M.L.Onokey, C.Pfersdorf, H.R.Wright III, D.D.Banks, S.B.A.Joseph",Emkay,Flawless Ent./RCA,59,17,2022-02-19,7
64,65,Giveon,For Tonight,"G.D.Evans, M.Semaj, A.L.Dixon, S.Thomas","S.Thomas, J.A.Sweet, A.Henry",Not So Fast/Epic,65,61,2022-02-19,7
65,66,Ari Lennox,Pressure,"C.S.Salter, J.Austin, J.Dupri Mauldin, B.M.Cox, J.Joesy, A.Parrino","J.Dupri, B.M.Cox",Dreamville/Interscope,67,66,2022-02-19,7
66,67,Cole Swindell / Lainey Wilson,Never Say Never,"J.L.Alexander, C.Swindell, C.McGill",Z.Crowell,Broken Bow/Warner Music Nashville/WMN,69,67,2022-02-19,7
67,68,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),"T.Swift, Max Martin, Shellback",E.Anderfjard,Republic,61,45,2022-02-19,7
68,69,"Nardo Wick, Lil Baby & Future",Me Or Sum,"H.Walls, J.Guerrieri-Maril, B.J.Zayas, Jr., X.Martinez, D.Flores, E.Dionisopoulos, N.D.Wilburn, D.A.Jones","Z3N, DVLP",Flawless Ent./RCA,78,69,2022-02-19,7
69,70,Acraze Featuring Cherish,Do It To It,"C.Duncker, F.King, N.King Lawrence, R.Richard, S.P.Joseph, J.Williams",Acraze,Thrive/Virgin,70,65,2022-02-19,7
70,71,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",All Of You,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,74,71,2022-02-19,7
71,72,Moneybagg Yo,Scorpio,"D.D.White, Jr., T.Walker, J.N.Pankey, C.Pearson, J.Rockamore","Skywalker OG, J.Rockamore, YC",CMG/N-Less/Interscope,68,66,2022-02-19,7
72,73,YG Featuring J. Cole & Moneybagg Yo,Scared Money,"K.D.R.Jackson, J.Gibson, D.D.White, Jr., J.Cole",Gibboo,4Hunnid/Def Jam,-,73,2022-02-19,7
73,74,Michael Ray,Whiskey And Rain,"J.Frasure, J.Thompson",R.Copperman,Warner Music Nashville/WEA,64,37,2022-02-19,7
74,75,The Walters,I Love You So,"C.Ekhaus, D.Wells, L.Olson, M.J.Tirabassi, W.Kosner","C.Ekhaus, The Walters",The Walters/Warner,71,71,2022-02-19,7
75,76,Rod Wave,Cold December,"E.Clauseille, R.M.Green, J.Bradbury, T.Horton, L.Walker, H.Williams Jr.","JB, TNTxD, Lukecmon, ThatBossEvan",Alamo,62,38,2022-02-19,7
76,77,Machine Gun Kelly & WILLOW,Emo Girl,"R.C.Baker, N.A.Long, T.L.Barker, W.Smith, B.Allen, S.Basil","T.L.Barker, N.A.Long",EST19XX/Bad Boy/Interscope,-,77,2022-02-19,7
77,78,Red Hot Chili Peppers,Black Summer,"A.Kiedis, C.Smith, Flea, J.Frusciante",R.Rubin,Warner,-,78,2022-02-19,7
78,79,Rod Wave,By Your Side,"R.M.Green, T.Horton, R.Hartlove","TNTxD, Harto",Alamo,73,58,2022-02-19,7
79,80,Fireboy DML & Ed Sheeran,Peru,"Fireboy DML, E.C.Sheeran, I.Scott IV, Shizzi, K.O.Perine, O.C.Akerele",Shizzi,YBNL Nation/EMPIRE,79,79,2022-02-19,7
